RPT_REC_NUM,PRVDR_CTRL_TYPE_CD,PRVDR_NUM,RPT_STUS_CD,filed_date,fy_start_date,fy_end_date,source_year,days_in_period,most_recent,acute_beds_0700,icu_beds_0800,extra_0899,coronary_beds_0900,extra_0999,burn_beds_1000,extra_1099,surg_icu_beds_1100,extra_1199,oth_spec_beds_1200,extra_1299,subtotal_acute_beds_1400,subprovider_ipf_beds_1600,subprovider_irf_beds_1700,subprovider_oth_beds_1800,skilled_nursing_beds_1900,nursing_fac_beds_2000,oth_longterm_beds_2100,hospice_beds_2400,all_beds_2700,labor_delivery_beds_3200,acute_bed_days_0700,icu_bed_days_0800,extra_days_0899,coronary_bed_days_0900,extra_days_0999,burn_bed_days_1000,extra_days_1099,oth_spec_bed_days_1100,extra_days_1199,oth_spec_bed_days_1200,extra_days_1299,subtotal_acute_bed_days_1400,subprovider_ipf_bed_days_1600,subprovider_irf_bed_days_1700,subprovider_oth_bed_days_1800,skilled_nursing_bed_days_1900,nursing_fac_bed_days_2000,oth_longterm_bed_days_2100,hospice_bed_days_2400,obs_bed_days_2800,labor_delivery_bed_days_3200,subtotal_acute_utilization,all_beds_utilization
632636,9,251334,2,2017-04-13,2015-10-01,2016-09-30,2016,365,f,15,,,,,,,,,,,15,,,,,60,,,75,,,,,,,,,,,,,2624,,,,,21268,,,185,,47.0000,
632654,4,444004,2,2017-05-10,2016-01-01,2016-12-31,2016,365,f,287,,,,,,,,,,,287,,,,,,50,,337,,,,,,,,,,,,,85273,,,,,,962,,,,81.0000,
632657,5,452114,2,2017-05-18,2016-01-01,2016-12-31,2016,365,f,68,,,,,,,,,,,68,,,,,,,,68,,,,,,,,,,,,,9725,,,,,,,,,,39.0000,
632663,2,521359,2,2017-03-01,2015-10-01,2016-09-30,2016,365,f,25,,,,,,,,,,,25,10,,,,,,,35,,,,,,,,,,,,,4518,2847,,,,,,,812,,49.0000,
632665,9,524017,2,2017-05-31,2016-01-01,2016-12-31,2016,365,f,16,,,,,,,,,,,16,,,,240,,,,256,,,,,,,,,,,,,5368,,,,73917,,,,,,91.0000,
632683,10,164002,2,2017-12-04,2016-07-01,2017-06-30,2016,364,f,36,,,,,,,,,,,36,,,,,,,,36,,,,,,,,,,,,,12575,,,,,,,,,,95.0000,
632687,2,171378,2,2017-10-05,2016-05-01,2017-04-30,2016,364,f,25,,,,,,,,,,,25,,,,,,,,25,,,,,,,,,,,,,2519,,,,,,,,48,,27.0000,
632688,10,174006,2,2017-11-27,2016-07-01,2017-06-30,2016,364,f,99,,,,,,,,,,,99,,,,,,,,99,,,,,,,,,,,,,24869,,,,,,,,,,69.0000,
632700,6,232019,2,2017-10-19,2016-06-01,2017-05-31,2016,364,f,260,,,,,,,,,,,260,,,,,,,,260,,,,,,,,,,,,,26181,,,,,,,,,,27.0000,
632786,4,234030,2,2017-04-21,2016-01-01,2016-12-31,2016,365,f,108,,,,,,,,,,,108,,,,,,,,108,,,,,,,,,,,,,32700,,,,,,,,,,82.0000,
632787,1,261317,2,2017-12-01,2016-07-01,2017-06-30,2016,364,f,25,,,,,,,,,,,25,,,,,,,,25,,,,,,,,,,,,,1032,,,,,,,,224,,11.0000,
632802,11,450352,5,2018-09-11,2015-10-01,2016-09-30,2016,365,f,99,16,,7,,,,,,,,122,22,17,,,,,,161,,,2901,,2111,,,,,,,,24272,4511,5615,,,,,,2945,,54.0000,
632806,4,452083,2,2018-02-14,2016-09-01,2017-08-31,2016,364,f,48,,,,,,,,,,,48,,,,,,,,48,,,,,,,,,,,,,15653,,,,,,,,,,89.0000,
632821,2,53300,2,2017-03-01,2015-10-01,2016-09-30,2016,365,f,200,42,,,,,,,,116,,358,,,,,,,,358,,,8129,,,,,,,,24127,,75108,,,,,,,,1325,,57.0000,
632850,2,331307,1,2017-06-07,2016-01-01,2016-12-31,2016,365,f,20,,,,,,,,,,,20,,,,,,,,20,,,,,,,,,,,,,5147,,,,,,,,,,70.0000,
