zipcode,name,rg_name,rg_abbrev,area,totpop_cy,tothh_cy,medhinc_cy,avghinc_cy,pci_cy,meddi_cy,avgdi_cy,white_cy,black_cy,amerind_cy,asian_cy,pacific_cy,othrace_cy,race2up_cy,hispwht_cy,hispblk_cy,hispai_cy,hispasn_cy,hisppi_cy,hispoth_cy,hispmlt_cy,nhspwht_cy,nhspblk_cy,nhspai_cy,nhspasn_cy,nhsppi_cy,nhspoth_cy,nhspmlt_cy,oha_count,oha_count_lw,new_min,new_max,or_rate,date,jf_rate_tot,jf_rate_new_min,jf_rate_new_max
97123,Hillsboro,Oregon,OR,56.012021662494789,49610,16128,78935,94656,30808,57906,69290,34614,846,570,4119,240,6661,2560,6617,99,313,60,16,6587,819,27997,747,257,4059,224,74,1741,332,295,37,37,74.5,2020-07-22,66.9219915339649,7.45817375529127,7.45817375529127
97124,Hillsboro,Oregon,OR,44.737308228109455,54765,21236,88896,106155,41170,64989,76733,39192,1165,443,6747,199,4291,2728,4814,94,157,67,28,4213,678,34378,1071,286,6680,171,78,2050,187,152,35,35,38.7,2020-07-22,34.1458961015247,6.39094312060623,6.39094312060623
97119,Gaston,Oregon,OR,132.957504975450860,4342,1555,86088,115500,41367,64894,82123,3984,21,32,70,2,112,121,168,1,3,0,1,109,29,3816,20,29,70,1,3,92,-1,-1,0,8,-1,2020-07-22,-1,0,18.4246890833717
97121,Hammond,Oregon,OR,9.577274302802685,1678,655,54015,63287,24710,42707,49065,1506,10,20,27,20,41,54,56,0,2,1,0,40,8,1450,10,18,26,20,1,46,-1,-1,0,8,-1,2020-07-22,-1,0,47.6758045292014
97122,Hebo,Oregon,OR,40.189089735246483,511,215,52249,59473,25023,39670,45764,466,0,10,10,0,17,8,24,0,0,0,0,17,0,442,0,10,10,0,0,8,,,,,,,-2,-2,-2
97128,Mcminnville,Oregon,OR,117.481372378274074,39572,14368,54784,77796,28495,44124,57533,32055,361,466,766,84,4355,1485,3549,63,59,16,2,4289,496,28506,298,407,750,82,66,989,81,73,8,8,22.4,2020-07-22,20.4690184979278,2.02163145658546,2.02163145658546
97132,Newberg,Oregon,OR,63.218279935744803,31379,11096,71141,90125,31976,53797,66037,26834,277,214,844,55,2085,1070,1656,35,81,18,4,2053,256,25178,242,133,826,51,32,814,93,78,15,15,32.9,2020-07-22,29.637655757035,4.78026705758628,4.78026705758628
97131,Nehalem,Oregon,OR,268.989664640979413,2830,1300,51254,70052,32185,40926,52651,2585,13,27,30,6,58,111,139,0,0,1,1,56,22,2446,13,27,29,5,2,89,-1,-1,0,8,-1,2020-07-22,-1,0,28.2685512367491
97133,North Plains,Oregon,OR,67.527666831586316,5387,1992,88697,115006,42530,64655,80638,4796,24,59,137,24,158,189,283,0,23,3,5,151,51,4513,24,36,134,19,7,138,-1,-1,0,8,-1,2020-07-22,-1,0,14.8505661778355
97138,Seaside,Oregon,OR,420.584393781099493,11004,4930,48139,69365,31087,39122,52284,9703,80,90,165,16,591,359,580,16,14,2,0,579,77,9123,64,76,163,16,12,282,12,-1,3,11,12,2020-07-22,10.9051254089422,2.72628135223555,9.99636495819702
97137,Saint Paul,Oregon,OR,37.739215303562823,1250,407,82775,108839,35438,60170,77107,1031,0,8,6,0,179,26,144,0,3,0,0,179,10,887,0,5,6,0,0,16,0,-1,0,0,0,2020-07-22,0,0,0
97144,Timber,Oregon,OR,57.134709197070634,304,112,87549,90463,33328,64135,69953,285,1,4,3,0,1,10,10,0,2,0,0,1,2,275,1,2,3,0,0,8,,,,,,,-2,-2,-2
97145,Tolovana Park,Oregon,OR,21.499085597451931,172,73,56300,70719,30014,44527,53993,142,1,2,3,0,20,4,9,0,2,0,0,20,1,133,1,0,3,0,0,3,,,,,,,-2,-2,-2
97202,Portland,Oregon,OR,6.452303553946787,43023,19313,71733,101583,45653,55053,70978,36480,907,297,2520,88,666,2065,1488,53,49,19,1,573,324,34992,854,248,2501,87,93,1741,69,58,11,11,17.8,2020-07-22,16.0379331985217,2.55677195918462,2.55677195918462
